Rank,player,Team,Position,ECR,v_ECR
1,Jalen Hurts,PHI,QB,2,1
2,Josh Allen,BUF,QB,1,-1
3,Lamar Jackson,BAL,QB,4,1
4,Patrick Mahomes II,KC,QB,3,-1
5,Anthony Richardson,IND,QB,5,0
6,Jordan Love,GB,QB,10,4
7,C.J. Stroud,HOU,QB,6,-1
8,Kyler Murray,ARI,QB,7,-1
9,Jayden Daniels,WAS,QB,11,2
10,Dak Prescott,DAL,QB,9,-1
11,Joe Burrow,CIN,QB,8,-3
12,Brock Purdy,SF,QB,12,0
13,Caleb Williams,CHI,QB,13,0
14,Jared Goff,DET,QB,15,1
15,Trevor Lawrence,JAC,QB,16,1
16,Kirk Cousins,ATL,QB,17,1
17,Tua Tagovailoa,MIA,QB,14,-3
18,Aaron Rodgers,NYJ,QB,20,2
19,Will Levis,TEN,QB,24,5
20,Deshaun Watson,CLE,QB,21,1
21,Justin Herbert,LAC,QB,18,-3
22,Matthew Stafford,LAR,QB,19,-3
23,Baker Mayfield,TB,QB,23,0
24,Bo Nix,DEN,QB,29,5
25,Bryce Young,CAR,QB,28,3
26,Sam Darnold,MIN,QB,27,1
27,Geno Smith,SEA,QB,22,-5
28,Daniel Jones,NYG,QB,25,-3
29,Derek Carr,NO,QB,26,-3
30,Gardner Minshew II,LV,QB,32,2
31,Drake Maye,NE,QB,31,0
32,Russell Wilson,PIT,QB,30,-2
33,Justin Fields,PIT,QB,33,0
34,Aidan O'Connell,LV,QB,34,0
35,Jacoby Brissett,NE,QB,35,0
36,Drew Lock,NYG,QB,38,2
37,Sam Howell,SEA,QB,37,0
38,Jake Browning,CIN,QB,42,4
39,Nick Mullens,MIN,QB,44,5
40,Easton Stick,LAC,QB,62,22
