Rank,player,Team,Position,ECR,v_ECR
1,Christian McCaffrey,SF,RB,1,0
2,Jonathan Taylor,IND,RB,4,2
3,Breece Hall,NYJ,RB,2,-1
4,Bijan Robinson,ATL,RB,3,-1
5,Saquon Barkley,PHI,RB,6,1
6,Derrick Henry,BAL,RB,7,1
7,Travis Etienne Jr.,JAC,RB,8,1
8,Jahmyr Gibbs,DET,RB,5,-3
9,Josh Jacobs,GB,RB,12,3
10,Kyren Williams,LAR,RB,9,-1
11,Isiah Pacheco,KC,RB,10,-1
12,De'Von Achane,MIA,RB,11,-1
13,Joe Mixon,HOU,RB,16,3
14,James Cook,BUF,RB,13,-1
15,Alvin Kamara,NO,RB,17,2
16,Aaron Jones,MIN,RB,20,4
17,James Conner,ARI,RB,18,1
18,Rachaad White,TB,RB,14,-4
19,Kenneth Walker III,SEA,RB,15,-4
20,Rhamondre Stevenson,NE,RB,21,1
21,Zamir White,LV,RB,25,4
22,Raheem Mostert,MIA,RB,23,1
23,D'Andre Swift,CHI,RB,24,1
24,Javonte Williams,DEN,RB,26,2
25,Brian Robinson Jr.,WAS,RB,28,3
26,Zack Moss,CIN,RB,32,6
27,David Montgomery,DET,RB,19,-8
28,Devin Singletary,NYG,RB,29,1
29,Tony Pollard,TEN,RB,27,-2
30,Najee Harris,PIT,RB,22,-8
31,Jonathon Brooks,CAR,RB,34,3
32,Gus Edwards,LAC,RB,37,5
33,Tyjae Spears,TEN,RB,31,-2
34,Austin Ekeler,WAS,RB,36,2
35,Jerome Ford,CLE,RB,35,0
36,Chuba Hubbard,CAR,RB,41,5
37,Blake Corum,LAR,RB,40,3
38,Jaylen Warren,PIT,RB,30,-8
39,Zach Charbonnet,SEA,RB,42,3
40,Tyler Allgeier,ATL,RB,48,8
41,Nick Chubb,CLE,RB,39,-2
42,J.K. Dobbins,LAC,RB,45,3
43,Jordan Mason,SF,RB,57,14
44,Samaje Perine,KC,RB,74,30
45,Ezekiel Elliott,DAL,RB,38,-7
46,Bucky Irving,TB,RB,54,8
47,Chase Brown,CIN,RB,33,-14
48,Trey Benson,ARI,RB,43,-5
49,Antonio Gibson,NE,RB,49,0
50,Jaleel McLaughlin,DEN,RB,46,-4
51,Ray Davis,BUF,RB,50,-1
52,Ty Chandler,MIN,RB,47,-5
53,Jaylen Wright,MIA,RB,53,0
54,Rico Dowdle,DAL,RB,44,-10
55,MarShawn Lloyd,GB,RB,51,-4
56,Khalil Herbert,CHI,RB,52,-4
57,Dalvin Cook,DAL,RB,90,33
58,Braelon Allen,NYJ,RB,55,-3
59,Roschon Johnson,CHI,RB,56,-3
60,Alexander Mattison,LV,RB,59,-1
61,Jamaal Williams,NO,RB,68,7
62,Audric Estime,DEN,RB,61,-1
63,Tyrone Tracy Jr.,NYG,RB,65,2
64,Kenneth Gainwell,PHI,RB,66,2
65,Cordarrelle Patterson,PIT,RB,77,12
66,Tank Bigsby,JAC,RB,58,-8
67,Clyde Edwards-Helaire,KC,RB,67,0
68,Isaiah Davis,NYJ,RB,102,34
69,Dameon Pierce,HOU,RB,64,-5
70,Dylan Laube,LV,RB,73,3
71,Eric Gray,NYG,RB,75,4
72,Trey Sermon,IND,RB,70,-2
73,Will Shipley,PHI,RB,69,-4
74,Carson Steele,KC,RB,91,17
75,Kimani Vidal,LAC,RB,60,-15
76,Kendre Miller,NO,RB,62,-14
77,Keaton Mitchell,BAL,RB,71,-6
78,Justice Hill,BAL,RB,63,-15
79,Rasheen Ali,BAL,RB,92,13
80,Sean Tucker,TB,RB,105,25
81,Isaac Guerendo,SF,RB,82,1
82,Cam Akers,HOU,RB,78,-4
83,Pierre Strong Jr.,CLE,RB,80,-3
84,D'Ernest Johnson,JAC,RB,81,-3
85,Miles Sanders,CAR,RB,72,-13
86,D'Onta Foreman,CLE,RB,76,-10
87,Deuce Vaughn,DAL,RB,79,-8
88,Emari Demercado,ARI,RB,83,-5
89,Jeff Wilson Jr.,MIA,RB,85,-4
90,Israel Abanikanda,NYJ,RB,84,-6
