Rank,player,Team,Position,ECR,v_ECR
1,Travis Kelce,KC,TE,2,1
2,Sam LaPorta,DET,TE,1,-1
3,Trey McBride,ARI,TE,4,1
4,Mark Andrews,BAL,TE,3,-1
5,Kyle Pitts,ATL,TE,6,1
6,Evan Engram,JAC,TE,8,2
7,Dalton Kincaid,BUF,TE,5,-2
8,George Kittle,SF,TE,7,-1
9,Jake Ferguson,DAL,TE,9,0
10,T.J. Hockenson,MIN,TE,15,5
11,Brock Bowers,LV,TE,11,0
12,David Njoku,CLE,TE,10,-2
13,Dallas Goedert,PHI,TE,12,-1
14,Taysom Hill,NO,TE,20,6
15,Hunter Henry,NE,TE,17,2
16,Dalton Schultz,HOU,TE,14,-2
17,Luke Musgrave,GB,TE,16,-1
18,Cole Kmet,CHI,TE,18,0
19,Cade Otton,TB,TE,21,2
20,Pat Freiermuth,PIT,TE,13,-7
21,Juwan Johnson,NO,TE,23,2
22,Jonnu Smith,MIA,TE,31,9
23,Tyler Conklin,NYJ,TE,19,-4
24,Mike Gesicki,CIN,TE,27,3
25,Hayden Hurst,LAC,TE,39,14
26,Isaiah Likely,BAL,TE,24,-2
27,Ben Sinnott,WAS,TE,28,1
28,Chigoziem Okonkwo,TEN,TE,25,-3
29,Colby Parkinson,LAR,TE,36,7
30,Noah Fant,SEA,TE,22,-8
31,Greg Dulcich,DEN,TE,35,4
32,Tucker Kraft,GB,TE,26,-6
33,Theo Johnson,NYG,TE,37,4
34,Michael Mayer,LV,TE,29,-5
35,Tommy Tremble,CAR,TE,47,12
36,Ja'Tavion Sanders,CAR,TE,32,-4
37,Kylen Granson,IND,TE,41,4
38,Dawson Knox,BUF,TE,33,-5
39,Zach Ertz,WAS,TE,30,-9
40,Daniel Bellinger,NYG,TE,40,0
41,Will Dissly,LAC,TE,42,1
42,Mo Alie-Cox,IND,TE,58,16
43,Tyler Higbee,LAR,TE,38,-5
44,Josh Oliver,MIN,TE,46,2
45,Darnell Washington,PIT,TE,53,8
46,Gerald Everett,CHI,TE,34,-12
47,Jeremy Ruckert,NYJ,TE,50,3
48,Austin Hooper,NE,TE,55,7
49,Cade Stover,HOU,TE,49,0
50,Jared Wiley,KC,TE,63,13
